场景,描述
公司简介,甲板智慧是一家以AI为核心技术，针对智能化公共空间产品及场景的研发、制造、生产、运营、运维于一体的国家高新技术企业。业务种类包含：智慧公园、智慧园林、智慧体育、智慧景区、智慧社区、智慧园区、智慧城市更新等
场景介绍,1+4+1的场景模式，顶层大数据设计，4个业务场景大教练、大导游、大掌柜、大管家，AI算法层支持
大教练,大教练园区经营的引流器，人气NO1就靠它，大教练系列为您量身打造一个集体测、跑步、骑行、划船、健身等为一体的全民运动、亲子活动场，提供专属化的定制服务和个性化的组合，体验数字运动的乐趣，成为健康生活的新领者，产品有AI全龄运动场AI体测机器人、AI健身魔镜、AI全龄划船机、AI全龄骑行、50米折返跑、智慧单双杠、智慧仰卧起坐、智慧摸高等
大导游,大导游活化景区，将景区的过去及现在克隆成专属数字人，提供导览、导购、科普服务；让您的景区成为数字化旅游的网红打卡地，产品有导览数字人、智慧管理数字人、投影数字人、科普数字人、运动数字人、直播带货数字人、游戏数字人
大掌柜,用大掌柜，赋能园区赚大钱！引流、导览、支付、商家入驻、统一核销、财务管理一栈式服务，让园区经营数据可视化实时展现，园区人流量+30%以上 运营收益+50%以上
大管家,AI大管家辅助公园、景区、保护地等无人化管理，帮你发现问题、解决问题，产品包含智慧路灯、智慧垃圾桶、智慧导览、智慧座椅、智慧无人车、智慧病虫害、智慧动植物科普、智慧跑道等
智能工兵,智能工兵，采用灵活插拔的模块化设备，成为街道、公园、景区、山地等户外场景的电、网专家 快速实现无线网电稳定、低成本、无安全隐患的设备部署
智慧家具,"智慧家具点亮街区热度，激活城市空间、提供更智能更人性化的智能服务，满足民众休闲生活需要，切实改善人居生态环境、美化城市环境，
为户外活动人群营造一个方便舒适的氛围"
低碳骑行,"低碳骑行是一款针对亲子用户研发的健身器械，以科技、动感、简明的交互方式，让亲子家庭可以在骑行中游戏，让家长在带娃游玩的同时与孩子
一起竞技游戏，在短时间获得高效陪伴。"
趣味能量划船机,AI划船机产品是市面上最早研发的独家产品。设备互动性较高，通过划行联动竞技游戏进行2-4人同台竞技，是最受欢迎的亲子互动设施。
健身魔盒,"健身魔盒是一款户外的虚拟健身装置，游客通过摄像头与屏幕中的虚拟内容进行运动交互，在规定的时间内按照动作提示和规定时间进行运动。
运动内容在多家体育健康专家指导下挑选，适合户外空间人群练习，帮助游客更加科学有效健身。"
全民运动场,"全民运动场是一款基于大屏交互操作的体能训练游戏，它的游戏模式分为跳跃训练、敏捷训练、太极、切水果、广场舞，在游戏过程中，可以选择双
人竞技模式，让亲子陪伴变得更加高效有趣。"
AI互动夜光跑道,AI互动夜光跑道是一款互动夜光跑道装置，通过用户运动速度的变化与装置形成互动，从而实现户外娱乐的目的。用户通过触发装置里面的感应部位进行交互体验。和灯光的变化以及音乐得变化产生交互，用户可以自己可以控制灯光以及音乐。
体适能六件套,"体适能六件套是一款智能体适能六件套包括智能单杠装置、智能双杠装置、智能仰卧起坐装置、智能跳远装置、智能摸高装置，根据中考体适能标准需
求进行记录和打分。"
高光球场,"高光球场是一款用户可以观看运动过程中的精彩时刻并储存在手机里的设备。通常在球场周围放置摄像头，自动记录以及捕捉用户在运动过程中的
精彩表现，用户在运动完后可以查看相关视频并扫码带走。"
AI科普机器人,AI科普机器人产品是一款帮助儿童认识动植物等内容的科普机器人，是由 6个的模块化小牌子和一个语音交流机器人组成。AI自然科普机器人不仅有知识科普还有游戏互动，使学习更加具有趣味性。
AI音乐互动琴弦,AI音乐互动琴弦产品是一款音乐娱乐互动类产品，是由 7个代表音调的模块化小设备和一个控制台组成。每一个小设备都会有灯光的变化，去引导用户与产品进行互动。让音乐更加具有趣味性，让更多的孩子自愿通过音乐琴弦初步了解不同的乐器会发出不同的声音。
AR低碳望远镜,"AR低碳望远镜产品是一款在户外的使用的科普设备，用户可以通过触摸点击、转动设备等交互方式，探索真实世界之中不易被察觉的生物故事或自然奥
秘，屏幕内会显示基于该场景的增强现实场景，并具有科普功能。"
社区综合导览,社区综合导览产品是一款AI综合导览可视化大屏，产品适用于公园、景区等场景，为游客提供全面、趣味、可交互的场景感知，丰富游客体验。
AI智能语音垃圾分类机器人,AI智能语音垃圾分类机器人是一款能交流对话、垃圾分类语音提示、远程满溢警报、网点定位等功能的智能产品。在日常使用中，可通过语音或按键被唤醒，可准确识别用户说出的如“易拉罐、塑料瓶、废纸团、电池”等多种垃圾名称，还可以与用户进行多轮对话交流，实现垃圾分类问题的解答，科普垃圾分类知识。
AI调温座椅,"AI调温座椅是一款户外座椅的多功能改良产品。与传统户外座椅相比，增加了加热调温功能、共享快速充电、蓝牙音箱模块等功能。解决用户户外充
电难的同时，增强用户使用户外座椅的体验。"
AI数字人,"AI数字人运用了3D建模、虚幻渲染技术和智能语音互动技术，实现虚拟人仿真搭建和实时人机互动的功能，适用于虚拟人形象定制，用于产品中智能
人机交互的场景。"
